score_type,regime,tier,singular_index,mean_energy_fraction,n_samples
Score 2,aggressive,structural,25,0.004455134738236666,411
Score 2,aggressive,structural,26,0.00035229630884714425,411
Score 2,aggressive,structural,27,0.01718199998140335,411
Score 2,aggressive,structural,28,0.014115759171545506,411
Score 2,aggressive,structural,29,0.0163751058280468,411
Score 2,aggressive,structural,30,0.0006488223443739116,411
Score 2,aggressive,structural,31,9.593222785042599e-05,411
Score 2,aggressive,structural,32,0.011048907414078712,411
Score 2,aggressive,structural,33,0.08408915996551514,411
Score 2,aggressive,structural,34,0.026135126128792763,411
Score 2,aggressive,structural,35,0.01668204739689827,411
Score 2,aggressive,structural,36,0.005499119404703379,411
Score 2,aggressive,structural,37,0.0007243188447318971,411
Score 2,aggressive,structural,38,0.0005438540829345584,411
Score 2,aggressive,structural,39,0.0026479202788323164,411
Score 2,aggressive,structural,40,0.02316741831600666,411
Score 2,aggressive,structural,41,0.0008238511509262025,411
Score 2,aggressive,structural,42,0.013273727148771286,411
Score 2,aggressive,structural,43,0.0012107010697945952,411
Score 2,aggressive,structural,44,0.0014009486185386777,411
Score 2,aggressive,structural,45,0.004294441547244787,411
Score 2,aggressive,structural,46,0.0005423969123512506,411
Score 2,aggressive,structural,47,0.012989748269319534,411
Score 2,aggressive,structural,48,0.0023948117159307003,411
Score 2,aggressive,structural,49,0.02410622499883175,411
Score 2,aggressive,structural,50,0.009304673410952091,411
Score 2,aggressive,structural,51,0.00968170166015625,411
Score 2,aggressive,structural,52,0.016954688355326653,411
Score 2,aggressive,structural,53,0.005179603584110737,411
Score 2,aggressive,structural,54,0.027779513970017433,411
Score 2,aggressive,structural,55,0.013912457041442394,411
Score 2,aggressive,structural,56,0.00021334858320187777,411
Score 2,aggressive,structural,57,0.030617667362093925,411
Score 2,aggressive,noisy,1,0.12955132126808167,411
Score 2,aggressive,noisy,2,0.07567322254180908,411
Score 2,aggressive,noisy,3,0.004287512507289648,411
Score 2,aggressive,noisy,4,0.004857350140810013,411
Score 2,aggressive,noisy,5,0.013550297357141972,411
Score 2,aggressive,noisy,6,0.030237210914492607,411
Score 2,aggressive,noisy,7,0.006028557196259499,411
Score 2,aggressive,noisy,8,0.01610603742301464,411
Score 2,aggressive,noisy,9,0.14045725762844086,411
Score 2,aggressive,noisy,10,0.009722607210278511,411
Score 2,aggressive,noisy,11,0.014176426455378532,411
Score 2,aggressive,noisy,12,0.0014614658430218697,411
Score 2,aggressive,noisy,13,0.018775157630443573,411
Score 2,aggressive,noisy,14,0.01671954058110714,411
Score 2,aggressive,noisy,15,0.0012521957978606224,411
Score 2,aggressive,noisy,16,0.006225420627743006,411
Score 2,aggressive,noisy,17,0.0007465347880497575,411
Score 2,aggressive,noisy,18,0.01559615507721901,411
Score 2,aggressive,noisy,19,0.0018216200405731797,411
Score 2,aggressive,noisy,20,0.00920870341360569,411
Score 2,aggressive,noisy,21,0.004300415050238371,411
Score 2,aggressive,noisy,22,0.008017945103347301,411
Score 2,aggressive,noisy,23,0.005152939818799496,411
Score 2,aggressive,noisy,24,0.030708709731698036,411
Score 2,aggressive,noisy,25,0.007432707119733095,411
Score 2,aggressive,noisy,26,0.0011201858287677169,411
Score 2,aggressive,noisy,27,0.016076585277915,411
Score 2,aggressive,noisy,28,0.01683424785733223,411
Score 2,aggressive,noisy,29,0.016647281125187874,411
Score 2,aggressive,noisy,30,0.0015909159556031227,411
Score 2,aggressive,noisy,31,0.0007522121304646134,411
Score 2,aggressive,noisy,32,0.017080508172512054,411
Score 2,aggressive,noisy,33,0.07351519167423248,411
Score 2,aggressive,noisy,34,0.02166767045855522,411
Score 2,aggressive,noisy,35,0.025095351040363312,411
Score 2,aggressive,noisy,36,0.008272659033536911,411
Score 2,aggressive,noisy,37,0.0028930343687534332,411
Score 2,aggressive,noisy,38,0.0010729263303801417,411
Score 2,aggressive,noisy,39,0.0041514732874929905,411
Score 2,aggressive,noisy,40,0.017281822860240936,411
Score 2,aggressive,noisy,41,0.0021550641395151615,411
Score 2,aggressive,noisy,42,0.02186955325305462,411
Score 2,aggressive,noisy,43,0.0019995213951915503,411
Score 2,aggressive,noisy,44,0.0026354200672358274,411
Score 2,aggressive,noisy,45,0.0051512522622942924,411
