Attack metrics report
Dataset: spambase
Attack: deepfool
alpha=0.001, maxiters=500

Correctly-classified originals: 2058/2301
Successfully attacked (among correct): 2041/2058
ASR (among correct): 0.9917

Changed samples among correct (any feature changed): 2058/2058
Max |delta| among correct: 0.099411

Changed samples among successful attacks: 2041/2041
Max |delta| among successful attacks: 0.089481

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.00988095 median=0.00776963 min=6.22247e-05 max=0.0469053
  RMSE : mean=0.013246 median=0.0105419 min=9.50558e-05 max=0.0557539
  L1   : mean=0.563214 median=0.442869 min=0.00354681 max=2.6736
  L2   : mean=0.100005 median=0.0795897 min=0.000717656 max=0.420933
  Linf : mean=0.0237594 median=0.0186552 min=0.000182563 max=0.099411

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.0158086 adv_mean=0.0214449 mean|diff|=0.00563628 max|diff|=0.0267989
  RMSE : orig_mean=0.0514402 adv_mean=0.0505428 mean|diff|=0.00209625 max|diff|=0.0191729
  L1   : orig_mean=0.901089 adv_mean=1.22236 mean|diff|=0.321268 max|diff|=1.52754
  L2   : orig_mean=0.388365 adv_mean=0.381589 mean|diff|=0.0158264 max|diff|=0.144753
  Linf : orig_mean=0.281171 adv_mean=0.270571 mean|diff|=0.0141226 max|diff|=0.099411

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.0154053 adv_mean=0.020936 mean|diff|=0.00553073 max|diff|=0.0254841
  RMSE : orig_mean=0.050285 adv_mean=0.0494852 mean|diff|=0.00200858 max|diff|=0.0148291
  L1   : orig_mean=0.878103 adv_mean=1.19335 mean|diff|=0.315252 max|diff|=1.45259
  L2   : orig_mean=0.379643 adv_mean=0.373605 mean|diff|=0.0151644 max|diff|=0.111957
  Linf : orig_mean=0.27633 adv_mean=0.266043 mean|diff|=0.0138384 max|diff|=0.0865824

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
212,1,1,0.0237596,0.0299794,1.3543,0.22634,0.0555137
213,1,1,0.0126869,0.0170049,0.723151,0.128385,0.0305765
214,1,1,0.00910887,0.0126069,0.519206,0.0951803,0.0226525
215,1,1,0.00552325,0.00788296,0.314825,0.0595151,0.0144773
216,1,1,0.0164217,0.0219123,0.936037,0.165434,0.0375201
217,1,1,0.0127152,0.015437,0.724768,0.116547,0.0277433
218,1,1,0.0030007,0.00357473,0.17104,0.0269886,0.00562275
219,1,1,0.013109,0.0158717,0.747212,0.119828,0.0259737
220,1,1,0.00556201,0.00751041,0.317035,0.0567024,0.0135369
221,1,1,0.00469047,0.00657555,0.267357,0.0496443,0.0118298
224,1,1,0.00271206,0.00362253,0.154587,0.0273495,0.00634131
225,1,1,0.00856536,0.0118215,0.488225,0.0892503,0.0209758
227,1,1,0.0068476,0.00878936,0.390313,0.0663582,0.0150925
228,1,1,0.00125727,0.00174072,0.0716646,0.0131422,0.0031292
229,1,1,0.0013534,0.00166674,0.077144,0.0125836,0.00278154
230,1,1,0.00101896,0.0013382,0.0580805,0.0101032,0.00243093
231,1,1,0.0176691,0.0258467,1.00714,0.195139,0.0492214
232,1,1,0.00826842,0.0117441,0.4713,0.0886657,0.0218272
233,1,1,0.00458724,0.00588014,0.261473,0.0443941,0.009972
234,1,1,0.0160635,0.0240616,0.915617,0.181661,0.0458575
238,1,1,0.00228744,0.00336306,0.130384,0.0253905,0.00640426
239,1,1,0.0184496,0.0249573,1.05163,0.188424,0.043531
240,1,1,0.00711712,0.00924818,0.405676,0.0698222,0.0158671
241,1,1,0.00716317,0.0105409,0.408301,0.0795821,0.0198969
242,1,1,0.0124227,0.0160371,0.708095,0.121078,0.0284429
243,1,1,0.0209718,0.0245969,1.19539,0.185703,0.0397417
244,1,1,0.0110566,0.0124796,0.630229,0.0942186,0.0200139
245,1,1,0.000336747,0.000432765,0.0191946,0.0032673,0.000740553
246,1,1,0.00806581,0.0109476,0.459751,0.0826524,0.0198965
247,1,1,0.003078,0.00461883,0.175446,0.0348714,0.00944761
248,1,1,0.0305621,0.0407154,1.74204,0.307394,0.0737915
250,1,1,0.0125812,0.0184516,0.717127,0.139307,0.0351329
251,1,1,0.0205516,0.0239533,1.17144,0.180843,0.0420523
253,1,1,0.00601631,0.00768191,0.342929,0.0579972,0.0138529
254,0,1,0.0358568,0.0504261,2.04384,0.380708,0.092264
255,1,1,0.00631736,0.00824676,0.360089,0.0622616,0.0142989
256,1,1,0.0135854,0.0181847,0.77437,0.137292,0.032005
257,1,1,0.00564568,0.0073317,0.321804,0.0553531,0.0129445
258,1,1,0.010348,0.0151407,0.589836,0.11431,0.0293753
259,1,1,0.00286753,0.00414633,0.163449,0.0313041,0.00773327
260,1,1,0.00893778,0.0125072,0.509454,0.0944275,0.0228558
261,1,1,0.00966077,0.0140174,0.550664,0.105829,0.0264288
262,1,1,0.00887172,0.0111914,0.505688,0.084493,0.0185024
265,1,1,0.00862697,0.0125169,0.491737,0.0945009,0.0229322
266,1,1,0.0077671,0.00973316,0.442725,0.0734838,0.0159355
267,1,1,0.0176691,0.0258467,1.00714,0.195139,0.0492214
268,1,1,0.0106136,0.0150936,0.604976,0.113954,0.0277982
269,1,1,0.00524419,0.00721664,0.298919,0.0544844,0.0130684
271,1,1,0.00852947,0.0110913,0.48618,0.0837373,0.0195432
272,1,1,0.000200701,0.000296293,0.0114399,0.00223696,0.000561846
273,1,1,0.00786532,0.0110439,0.448323,0.0833797,0.0199579
274,1,1,0.0193966,0.0259318,1.1056,0.195781,0.0451971
275,1,1,0.00184186,0.0021522,0.104986,0.0162487,0.00335957
276,1,1,0.00245302,0.00321886,0.139822,0.0243018,0.00566937
277,1,1,0.0188645,0.024293,1.07528,0.183408,0.0409881
278,1,1,0.00945277,0.0131088,0.538808,0.0989693,0.0229792
279,1,1,0.00319285,0.00448665,0.181992,0.0338735,0.00803762
280,1,1,0.0225011,0.0257254,1.28256,0.194223,0.0390141
281,1,1,0.0184165,0.0242406,1.04974,0.183013,0.0459613
282,1,1,0.00286841,0.0037179,0.163499,0.0280695,0.00649568
283,1,1,0.00665653,0.010027,0.379422,0.0757024,0.019194
284,1,1,0.00127107,0.00187209,0.072451,0.0141339,0.00350529
285,1,1,0.00384096,0.00585513,0.218935,0.0442053,0.0112361
286,1,1,0.0117376,0.0143507,0.669044,0.108345,0.0238751
287,1,1,0.0154162,0.0224815,0.878722,0.169731,0.0429062
288,1,1,0.00484851,0.00696077,0.276365,0.0525527,0.0130315
289,1,1,0.0025743,0.00308586,0.146735,0.0232978,0.00494253
290,1,1,0.00221839,0.00305149,0.126448,0.0230383,0.0054954
291,1,1,0.0216083,0.0324449,1.23167,0.244954,0.0624532
292,1,1,0.00038443,0.000463944,0.0219125,0.0035027,0.000759993
293,1,1,0.0135461,0.0170738,0.772129,0.128905,0.0293972
294,1,1,0.0197444,0.0276056,1.12543,0.208418,0.0489575
295,1,1,0.00164882,0.00232006,0.093983,0.0175161,0.00421184
296,1,1,0.00509116,0.00673842,0.290196,0.050874,0.0117551
297,1,1,0.0192708,0.0257057,1.09843,0.194074,0.043699
298,1,1,0.0251375,0.0330659,1.43284,0.249642,0.0584263
299,1,1,0.00534426,0.00646078,0.304623,0.0487778,0.0108234
300,1,1,0.00647439,0.00845548,0.36904,0.0638374,0.0146499
301,1,1,0.00744885,0.0103761,0.424585,0.078338,0.0184378
302,1,1,0.0197097,0.0284182,1.12345,0.214552,0.0508454
303,1,1,0.0031296,0.0046356,0.178387,0.034998,0.008791
304,1,1,0.00724322,0.00946873,0.412863,0.0714874,0.0174589
305,1,1,0.00445683,0.00645865,0.254039,0.0487617,0.0117922
306,1,1,0.0134398,0.0196614,0.766066,0.14844,0.0363103
307,1,1,0.00849988,0.0126644,0.484493,0.0956143,0.0237732
308,1,1,0.00267006,0.00388039,0.152194,0.0292963,0.00723864
309,1,1,0.017666,0.0233452,1.00696,0.176252,0.0403644
310,1,1,0.00235663,0.00316143,0.134328,0.0238683,0.00591075
311,1,1,0.00285759,0.00347001,0.162883,0.026198,0.00573309
312,1,1,0.0090887,0.0120274,0.518056,0.0908052,0.0207389
313,1,1,0.00624347,0.00899473,0.355878,0.0679087,0.0165232
